ID汉Link汉Data_lei汉Data_publicação汉Tipo_lei汉Setor汉Revogada
701732021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0071-2021_ato_normativo_19042021_20210426112610.pdf汉汉 03/05/2021汉701汉ANA汉True
701712021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0080-2021_ato_normativo_14062021_20210615085613.pdf汉汉 19/04/2021汉701汉ANA汉True
701702021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0102-2021_ato_normativo_04102021_20211006084647.pdf汉汉 19/04/2021汉701汉ANA汉True
701692021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0105-2021_ato_normativo_18102021_20211020085344.pdf汉汉 18/04/2021汉701汉ANA汉True
701682021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0063-2021_ato_normativo_12022021_20210217085937.pdf汉汉 14/04/2021汉701汉ANA汉True
701672021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0110-2021_ato_normativo_23112021_20211124075340.pdf汉汉 15/03/2021汉701汉ANA汉True
701662021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0067-2021_ato_normativo_15032021_20210322083908.pdf汉汉 15/03/2021汉701汉ANA汉True
701652021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0068-2021_ato_normativo_14042021_20210420121220.pdf汉汉 03/03/2021汉701汉ANA汉True
701632021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0077-2021_ato_normativo_01062021_20210602084228.pdf汉汉 12/02/2021汉701汉ANA汉True
701622021汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2021/0066-2021_resolucao_conjunta_com_outras_instituicoes_15032021_20210318084328.pdf汉汉 01/02/2021汉701汉ANA汉True
701592020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0021-2020_ato_normativo.pdf汉汉 31/12/2020汉701汉ANA汉True
701582020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0018-2020_ato_normativo.pdf汉汉 21/12/2020汉701汉ANA汉True
701572020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0049-2020_ato_normativo_16112020_20201120093807.pdf汉汉 14/12/2020汉701汉ANA汉True
701562020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/analegis/0006-2020_afastamento_do_pais__legis.pdf汉汉 14/12/2020汉701汉ANA汉True
701552020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/conjuntas/0030-2020_resolucao_conjunta_com_outras_instituicoes.pdf汉汉 07/12/2020汉701汉ANA汉True
701542020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0055-2020_ato_normativo_07122020_20201210085820.pdf汉汉 07/12/2020汉701汉ANA汉True
701532020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0052-2020_ato_normativo_04122020_20201221134041.pdf汉汉 04/12/2020汉701汉ANA汉True
701522020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0024-2020_ato_normativo.pdf汉汉 04/12/2020汉701汉ANA汉True
701512020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0034-2020_ato_normativo__20200730082748.pdf汉汉 03/12/2020汉701汉ANA汉True
701502020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0026-2020_ato_normativo_20210716104509_alteracao.pdf汉汉 23/11/2020汉701汉ANA汉True
701492020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0057-2020_ato_normativo_14122020_20201217083939.pdf汉汉 16/11/2020汉701汉ANA汉True
701472020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0054-2020_ato_normativo_07122020_20210119171150.pdf汉汉 26/10/2020汉701汉ANA汉True
701462020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0053-2020_ato_normativo_04122020_20210108140026.pdf汉汉 26/10/2020汉701汉ANA汉True
701452020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0046-2020_ato_normativo_26102020_20201028082814.pdf汉汉 19/10/2020汉701汉ANA汉True
